HE provider,Continuation %,Average Salary,Academic Services Expenditure per Student,Facilities Expenditure per Student,Student/Staff Ratio,% Graduates in High Skilled Work,% Satisfied with Teaching,% Satisfied with Course,% Satisfied with Assessment,Subjects
University of Durham,97.6,27463.0,2122.0,2585.0,11.5,48.0,86.3,86.4,71.2,"['Subjects allied to medicine', 'Biological and sport sciences', 'Psychology', 'Physical sciences', 'Mathematical sciences', 'Engineering and technology', 'Computing', 'Social sciences', 'Law', 'Business and management', 'Language and area studies', 'Historical, philosophical and religious studies', 'Education and teaching', 'Design, and creative and performing arts', 'Geography, earth and environmental studies']"
The University of East Anglia,94.7,25101.0,1620.0,3007.0,11.9,46.0,86.1,86.0,72.2,"['Medicine and dentistry', 'Subjects allied to medicine', 'Biological and sport sciences', 'Psychology', 'Physical sciences', 'Mathematical sciences', 'Engineering and technology', 'Computing', 'Social sciences', 'Law', 'Business and management', 'Language and area studies', 'Historical, philosophical and religious studies', 'Education and teaching', 'Media, journalism and communications', 'Design, and creative and performing arts', 'Geography, earth and environmental studies']"
The University of East London,87.3,23755.0,671.0,3052.0,26.5,32.5,78.4,71.1,70.1,"['Subjects allied to medicine', 'Biological and sport sciences', 'Psychology', 'Engineering and technology', 'Computing', 'Architecture, building and planning', 'Social sciences', 'Law', 'Business and management', 'Language and area studies', 'Historical, philosophical and religious studies', 'Education and teaching', 'Media, journalism and communications', 'Design, and creative and performing arts']"
Edge Hill University,92.9,22430.0,1378.0,1189.0,18.6,47.7,81.89999999999999,80.0,75.3,"['Subjects allied to medicine', 'Biological and sport sciences', 'Psychology', 'Computing', 'Social sciences', 'Law', 'Business and management', 'Language and area studies', 'Historical, philosophical and religious studies', 'Education and teaching', 'Media, journalism and communications', 'Design, and creative and performing arts', 'Geography, earth and environmental studies']"
Edinburgh Napier University,89.6,24619.0,1610.0,1307.0,22.7,47.4,87.7,86.0,74.2,"['Subjects allied to medicine', 'Biological and sport sciences', 'Psychology', 'Veterinary sciences', 'Engineering and technology', 'Computing', 'Architecture, building and planning', 'Social sciences', 'Law', 'Business and management', 'Language and area studies', 'Media, journalism and communications', 'Design, and creative and performing arts']"
The University of Edinburgh,96.8,27187.0,1313.0,3147.0,7.5,45.9,85.7,79.2,59.9,"['Medicine and dentistry', 'Subjects allied to medicine', 'Biological and sport sciences', 'Psychology', 'Veterinary sciences', 'Physical sciences', 'Mathematical sciences', 'Engineering and technology', 'Computing', 'Architecture, building and planning', 'Social sciences', 'Law', 'Business and management', 'Language and area studies', 'Historical, philosophical and religious studies', 'Education and teaching', 'Combined and general studies', 'Design, and creative and performing arts', 'Geography, earth and environmental studies']"
The University of Essex,91.7,24694.0,1701.0,680.0,15.7,37.7,85.7,82.89999999999999,73.2,"['Subjects allied to medicine', 'Biological and sport sciences', 'Psychology', 'Mathematical sciences', 'Engineering and technology', 'Computing', 'Social sciences', 'Law', 'Business and management', 'Language and area studies', 'Historical, philosophical and religious studies', 'Combined and general studies', 'Media, journalism and communications', 'Design, and creative and performing arts']"
The University of Exeter,97.7,26628.0,1306.0,3231.0,11.2,44.2,87.6,85.3,68.8,"['Medicine and dentistry', 'Subjects allied to medicine', 'Biological and sport sciences', 'Psychology', 'Physical sciences', 'Mathematical sciences', 'Engineering and technology', 'Computing', 'Social sciences', 'Law', 'Business and management', 'Language and area studies', 'Historical, philosophical and religious studies', 'Combined and general studies', 'Design, and creative and performing arts', 'Geography, earth and environmental studies']"
Falmouth University,90.0,20482.0,1023.0,1905.0,,40.1,85.8,81.5,76.4,"['Computing', 'Architecture, building and planning', 'Business and management', 'Language and area studies', 'Media, journalism and communications', 'Design, and creative and performing arts']"
Futureworks,87.8,,,,,42.9,82.3,70.1,71.1,"['Media, journalism and communications', 'Design, and creative and performing arts']"
Glasgow Caledonian University,91.5,24873.0,1203.0,1672.0,25.2,54.3,84.89999999999999,85.7,70.0,"['Medicine and dentistry', 'Subjects allied to medicine', 'Biological and sport sciences', 'Psychology', 'Physical sciences', 'Engineering and technology', 'Computing', 'Architecture, building and planning', 'Social sciences', 'Law', 'Business and management', 'Language and area studies', 'Media, journalism and communications', 'Design, and creative and performing arts']"
Glasgow School of Art,98.7,,990.0,4654.0,15.4,30.4,74.6,58.199999999999996,64.9,"['Design, and creative and performing arts']"
The University of Glasgow,95.9,26604.0,1685.0,1005.0,9.9,48.1,88.8,86.5,65.3,"['Medicine and dentistry', 'Subjects allied to medicine', 'Biological and sport sciences', 'Psychology', 'Veterinary sciences', 'Agriculture, food and related studies', 'Physical sciences', 'Mathematical sciences', 'Engineering and technology', 'Computing', 'Architecture, building and planning', 'Social sciences', 'Law', 'Business and management', 'Language and area studies', 'Historical, philosophical and religious studies', 'Education and teaching', 'Design, and creative and performing arts', 'Geography, earth and environmental studies']"
University of Gloucestershire,92.6,21709.0,1360.0,2948.0,,44.3,84.89999999999999,80.60000000000001,74.7,"['Subjects allied to medicine', 'Biological and sport sciences', 'Psychology', 'Computing', 'Architecture, building and planning', 'Social sciences', 'Law', 'Business and management', 'Language and area studies', 'Historical, philosophical and religious studies', 'Education and teaching', 'Media, journalism and communications', 'Design, and creative and performing arts', 'Geography, earth and environmental studies']"
Glyndŵr University,86.0,24984.0,698.0,1692.0,36.6,32.7,,,,[]
Goldsmiths College,89.9,24533.0,2051.0,2520.0,15.2,37.6,,,,[]
The University of Greenwich,91.4,26419.0,1066.0,1157.0,24.5,47.0,83.6,80.60000000000001,75.8,"['Subjects allied to medicine', 'Biological and sport sciences', 'Psychology', 'Physical sciences', 'Mathematical sciences', 'Engineering and technology', 'Computing', 'Architecture, building and planning', 'Social sciences', 'Law', 'Business and management', 'Language and area studies', 'Historical, philosophical and religious studies', 'Education and teaching', 'Media, journalism and communications', 'Design, and creative and performing arts']"
Harper Adams University,95.9,25397.0,909.0,1325.0,,48.4,89.1,88.9,77.7,"['Veterinary sciences', 'Agriculture, food and related studies', 'Engineering and technology', 'Business and management', 'Geography, earth and environmental studies']"
Hartpury University,88.7,,1051.0,7016.0,,,90.60000000000001,90.8,80.9,"['Subjects allied to medicine', 'Biological and sport sciences', 'Veterinary sciences', 'Agriculture, food and related studies', 'Business and management']"
Heriot-Watt University,93.2,25482.0,1609.0,4254.0,14.2,49.4,82.6,80.0,62.6,"['Biological and sport sciences', 'Psychology', 'Agriculture, food and related studies', 'Physical sciences', 'Mathematical sciences', 'Engineering and technology', 'Computing', 'Architecture, building and planning', 'Social sciences', 'Law', 'Business and management', 'Language and area studies', 'Design, and creative and performing arts']"
University of Hertfordshire,91.7,24984.0,1191.0,803.0,20.4,45.7,84.1,82.69999999999999,74.4,"['Subjects allied to medicine', 'Biological and sport sciences', 'Psychology', 'Physical sciences', 'Mathematical sciences', 'Engineering and technology', 'Computing', 'Architecture, building and planning', 'Social sciences', 'Law', 'Business and management', 'Language and area studies', 'Historical, philosophical and religious studies', 'Education and teaching', 'Combined and general studies', 'Media, journalism and communications', 'Design, and creative and performing arts', 'Geography, earth and environmental studies']"
The University of Huddersfield,91.4,23002.0,1501.0,1061.0,,44.1,81.8,80.30000000000001,75.8,"['Subjects allied to medicine', 'Biological and sport sciences', 'Psychology', 'Physical sciences', 'Engineering and technology', 'Computing', 'Architecture, building and planning', 'Social sciences', 'Law', 'Business and management', 'Language and area studies', 'Historical, philosophical and religious studies', 'Education and teaching', 'Combined and general studies', 'Media, journalism and communications', 'Design, and creative and performing arts']"
The University of Hull,92.8,23579.0,1720.0,1770.0,16.3,41.8,88.2,85.9,75.5,"['Subjects allied to medicine', 'Biological and sport sciences', 'Psychology', 'Physical sciences', 'Mathematical sciences', 'Engineering and technology', 'Computing', 'Social sciences', 'Law', 'Business and management', 'Language and area studies', 'Historical, philosophical and religious studies', 'Education and teaching', 'Media, journalism and communications', 'Design, and creative and performing arts', 'Geography, earth and environmental studies']"
"Imperial College of Science, Technology and Medicine",97.6,32948.0,2827.0,4898.0,4.9,49.1,83.7,79.10000000000001,57.9,"['Medicine and dentistry', 'Subjects allied to medicine', 'Biological and sport sciences', 'Physical sciences', 'Mathematical sciences', 'Engineering and technology', 'Computing', 'Business and management', 'Language and area studies', 'Geography, earth and environmental studies']"
Keele University,95.1,24314.0,1343.0,1898.0,15.8,43.8,,,,[]
The University of Kent,94.8,25092.0,1148.0,1773.0,16.0,39.7,85.0,83.1,67.7,"['Biological and sport sciences', 'Psychology', 'Agriculture, food and related studies', 'Physical sciences', 'Mathematical sciences', 'Engineering and technology', 'Computing', 'Architecture, building and planning', 'Social sciences', 'Law', 'Business and management', 'Language and area studies', 'Historical, philosophical and religious studies', 'Combined and general studies', 'Media, journalism and communications', 'Design, and creative and performing arts']"
King's College London,94.7,29763.0,1743.0,3839.0,7.9,46.5,83.5,78.0,62.3,"['Medicine and dentistry', 'Subjects allied to medicine', 'Biological and sport sciences', 'Psychology', 'Physical sciences', 'Mathematical sciences', 'Engineering and technology', 'Computing', 'Social sciences', 'Law', 'Business and management', 'Language and area studies', 'Historical, philosophical and religious studies', 'Media, journalism and communications', 'Design, and creative and performing arts', 'Geography, earth and environmental studies']"
Kingston University,92.5,25080.0,1613.0,991.0,22.3,41.1,82.3,80.60000000000001,73.6,"['Subjects allied to medicine', 'Biological and sport sciences', 'Psychology', 'Physical sciences', 'Mathematical sciences', 'Engineering and technology', 'Computing', 'Architecture, building and planning', 'Social sciences', 'Law', 'Business and management', 'Language and area studies', 'Historical, philosophical and religious studies', 'Education and teaching', 'Media, journalism and communications', 'Design, and creative and performing arts', 'Geography, earth and environmental studies']"
